blk_idx,trl_idx_inBlk,trl_idx,trl_startStk,trl_endStk,valv1,stim1,stim1_startStk,stim1_endStk
2,1,14,1509,1624,16,PO,1549,1564
2,2,15,1625,1740,3,Bzald04,1665,1680
2,3,16,1741,1856,14,EA02,1781,1796
2,4,17,1857,1972,6,Acet02,1897,1912
2,5,18,1973,2088,2,Bzald02,2013,2028
2,6,19,2089,2204,9,Acet04,2129,2144
2,7,20,2205,2320,5,1o3o04,2245,2260
2,8,21,2321,2436,10,MH02,2361,2376
2,9,22,2437,2552,11,MH04,2477,2492
2,10,23,2553,2668,4,1o3o02,2593,2608
2,11,24,2669,2784,12,EB02,2709,2724
2,12,25,2785,2900,15,EA04,2825,2840
2,13,26,2901,3016,13,EB04,2941,2956
